Age,Gender,Education,Live with,Conflict with law,Most used drugs,Motive about drug,motivation by friends,Spend most time,Mental/emotional problem,Suicidal thoughts,Family relationship,Financials of family,Addicted person in family,no. of friends,Withdrawal symptoms,Satisfied with workplace,Case in court,Living with drug user,Smoking,Easy to control use of drug,Frequency of drug usage,Taken drug while experiencing stress
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,"Alcohol, Weed, Cocaine, Heroin, Cigarette","Relief Stress, To increase energy","Yes, often they do",Alone,"Tension/Anxiety, Others",Yes,Communcaiton gap,Medium,Yes,Few (1-4),Yes,No,Yes,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Cocaine,Relief Stress,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",No,Average,Solvent,Yes,Few (1-4),Yes,Yes,No,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,Alcohol,Curiosity,"No, they don't",Alone,"Tension/Anxiety, Others",No,Average,Solvent,Not sure,Few (1-4),Yes,No,No,No,"Yes, occasionally","Yes, It's possible",Once/twice a week,No
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,No,"Alcohol, Yaba, Cigarette","Relief Stress, To increase energy","Yes, often they do",Friends,"Tension/Anxiety, Others",Yes,Average,Medium,No,Many (more than 5),No,No,No,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,No,Yaba,"Curiosity, Recreation, Social Trend","No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",No,Average,Solvent,Yes,Few (1-4),Yes,Yes,No,Yes,"No, I don't","No, It's not possible",Once/twice a week,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,Yes,"Weed, Cigarette",Relief Stress,"No, they don't",Alone,Depression,Yes,Average,Medium,Not sure,None,Yes,Yes,Yes,No,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,"Alcohol, Cigarette","Relief Stress, To increase energy","Yes, often they do",Friends,"Tension/Anxiety, Others",Yes,Average,Solvent,Yes,Few (1-4),Yes,No,No,Yes,"Yes, every day.","No, It's not possible",Occasionally,Yes
15 to 22 years,Female,H.S.C / A levels,Hostel/Hall,No,Cocaine,Curiosity,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",No,Average,Rich / Strong,Yes,Many (more than 5),Yes,Yes,No,Yes,"No, I don't","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Alcohol, Weed, Others, Cigarette",Relief Stress,"Yes, often they do",Friends,Tension/Anxiety,Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Weed, Heroin, Cigarette","Relief Stress, To increase energy","No, they don't",Alone,Depression,Yes,Average,Solvent,Yes,None,Yes,No,No,No,"Yes, every day.","No, It's not possible",Occasionally,Yes
15 to 22 years,Female,H.S.C / A levels,With Family/ Relatives,No,Alcohol,"Curiosity, Social Trend","Yes, often they do",Friends,Anxiety,Yes,Average,Medium,Yes,Few (1-4),Yes,No,No,Yes,"No, I don't","Yes, It's possible",Once/twice a week,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,"Weed, Heroin",Relief Stress,"No, they don't",Alone,"Depression/ inferiority/Guilt, Anger",Yes,Average,Rich / Strong,Yes,Few (1-4),Yes,No,No,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,No,Cigarette,Relief Stress,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,"Alcohol, Cigarette","Relief Stress, To increase energy","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Communcaiton gap,Solvent,Yes,Few (1-4),Yes,Yes,No,Yes,"Yes, every day.","No, It's not possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Weed, Yaba, Others","Relief Stress, Social Trend","No, they don't",Alone,Depression,Yes,Communcaiton gap,Solvent,No,None,Yes,No,No,No,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,Yes,Yaba,"Curiosity, Social Trend","No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,Yes,Yes,"No, I don't","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Alcohol, Cocaine, Cigarette","Relief Stress, To increase energy","Yes, often they do",Alone,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Yes,Few (1-4),Yes,No,No,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Weed, Cigarette","Relief Stress, To increase energy","No, they don't",Alone,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Not sure,None,Yes,No,No,No,"Yes, every day.","No, It's not possible",Occasionally,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,"Phensedyl, Heroin, Cigarette","Relief Stress, Curiosity, To increase energy","No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",No,Average,Rich / Strong,Yes,Few (1-4),Yes,Yes,No,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,No,Weed,Relief Stress,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Not sure,Few (1-4),Yes,Yes,No,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,Alcohol,"Relief Stress, To increase energy","No, they don't",Alone,Depression,Yes,Average,Rich / Strong,Yes,None,Yes,Yes,No,Yes,"Yes, occasionally","No, It's not possible",Occasionally,Yes
15 to 22 years,Female,H.S.C / A levels,Hostel/Hall,No,Cocaine,"Relief Stress, Curiosity, Recreation, Social Trend, To increase energy","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,No,Yes,"No, I don't","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,No,"Others, Cigarette","Relief Stress, Curiosity","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,No,Few (1-4),Yes,No,No,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,"Alcohol, Weed, Cigarette","Relief Stress, Recreation, To increase energy","Yes, often they do",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",Yes,Average,Solvent,Yes,Few (1-4),Yes,Yes,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Female,H.S.C / A levels,With Family/ Relatives,No,Cocaine,"Curiosity, Social Trend","Yes, often they do",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",No,Satisfactory,Rich / Strong,Not sure,Many (more than 5),Yes,Yes,No,No,"No, I don't","Yes, It's possible",Once/twice a week,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,"Alcohol, Weed, Others, Cigarette","Relief Stress, To increase energy","No, they don't",Alone,Tension/Anxiety,Yes,Communcaiton gap,Medium,No,None,Yes,Yes,Yes,No,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,"Phensedyl, Heroin",Relief Stress,"No, they don't",Family/ Relatives,Tension/Anxiety,Yes,Average,Medium,Yes,Few (1-4),Yes,No,No,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Cigarette,Relief Stress,"No, they don't",Alone,Tension/Anxiety,Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,"Weed, Others, Cigarette","Relief Stress, Curiosity, To increase energy","Yes, often they do",Family/ Relatives,Tension/Anxiety,Yes,Communcaiton gap,Solvent,No,Few (1-4),Yes,No,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Female,H.S.C / A levels,Hostel/Hall,No,Alcohol,"Curiosity, Recreation, Social Trend","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,No,Yes,"No, I don't","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,"Cocaine, Yaba, Others, Cigarette","Relief Stress, To increase energy","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",No,Average,Medium,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,H.S.C / A levels,Hostel/Hall,No,"Weed, Cocaine, Phensedyl","Relief Stress, Recreation, To increase energy","No, they don't",Alone,"Depression/ inferiority/Guilt, Anger",Yes,Average,Rich / Strong,Yes,Few (1-4),Yes,Yes,No,No,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,Yes,"Alcohol, Cigarette","Relief Stress, Curiosity","No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Yes,None,Yes,Yes,Yes,No,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Weed,Disease,"Yes, often they do",Alone,Depression/ inferiority/Guilt,Yes,Satisfactory,Solvent,No,Many (more than 5),No,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,H.S.C / A levels,With Family/Relatives,Yes,Others,Should avoid,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,Yes,Heroin,Disease,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Many (more than 5),I have no idea,No,Yes,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Yaba,Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Solvent,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,"yaba,Cigarette,others",Should avoid,"Yes, often they do",Friends,Tension/Anxiety,No,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Others,Should avoid,"Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Average,Medium,No,Many (more than 5),No,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Weed,Disease,"Yes, often they do",Alone,Depression/ inferiority/Guilt,Yes,Communcaiton gap,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"Yes, occasionally","No, It's not possible",Occasionally,No
15 to 22 years,Male,Undergraduate,With Family/Relatives,Yes,"Phensedyl,Weed,Alcohol","Social trend, Should avoid","Yes, often they do",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Average,Medium,Not sure,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Solvent,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Social trend,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Anger,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Alcohol,Social trend,"No, they don't",Friends,None,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Solvent,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,"Disease, Social trend, Should avoid","No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",Yes,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Cocaine,"Social trend, Should avoid","No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",No,Average,Medium,No,Many (more than 5),No,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Phensedyl,"Disease, Should avoid","No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,"Cocaine,Cigarette",Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Solvent,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
15 to 22 years,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,"Disease, Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Poor / weak,Yes,None,I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,Yes,yaba,Social trend,"No, they don't",Family/ Relatives,None,No,Satisfactory,Medium,No,Many (more than 5),No,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Others,Disease,"Yes, often they do",Family/ Relatives,"Tension/Anxiety, Anger",No,Average,Solvent,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Male,Undergraduate,With Family/Relatives,Yes,"Cigarette,Weed,Heroin",Social trend,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,Yes,Others,Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Disease,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Solvent,Yes,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,"Disease, Social trend, Should avoid","Yes, often they do",Family/ Relatives,Tension/Anxiety,No,Communcaiton gap,Poor / weak,No,Many (more than 5),I have no idea,No,No,Yes,"Yes, every day.","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Weed,Social trend,"No, they don't",Friends,None,No,Average,Medium,Not sure,Many (more than 5),No,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Others,Should avoid,"Yes, often they do",Friends,None,No,Satisfactory,Solvent,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,Undergraduate,Hostel/Hall,Yes,Others,"Disease, Social trend, Should avoid","Yes, often they do",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Rich / Strong,No,Many (more than 5),Yes,No,No,Yes,"No, I don't","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",No,Satisfactory,Solvent,No,Many (more than 5),No,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,"Heroin,Yaba,others",Should avoid,"Yes, often they do",Friends,None,No,Average,Medium,Not sure,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","No, It's not possible",Regularly,Yes
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,None,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Alone,None,No,Average,Medium,Yes,Many (more than 5),Yes,No,Yes,No,"Yes, every day.","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,With Family/Relatives,Yes,Others,Should avoid,"No, they don't",Alone,Anger,Yes,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Few (1-4),No,Yes,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Others,Social trend,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,Yes,Phensedyl,Social trend,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),No,No,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Others",Yes,Communcaiton gap,Solvent,No,Few (1-4),No,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Others",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Satisfactory,Solvent,Yes,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,Yes,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/Relatives,Yes,Alcohol,Social trend,"Yes, often they do",Friends,Anger,No,Communcaiton gap,Poor / weak,Yes,Many (more than 5),No,No,No,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/Relatives,No,I don't take drugs,Social trend,"Yes, often they do",Friends,None,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,No,No,Yes,"Yes, occasionally","Yes, It's possible",Regularly,No
between 22 to 35 years,Male,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Depression/ inferiority/Guilt,No,Satisfactory,Medium,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"Yes, often they do",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Satisfactory,Solvent,No,Many (more than 5),Yes,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Primary Education,With Family/Relatives,Yes,"Phensedyl,Weed,Alcohol,others",Social trend,"Yes, often they do",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others, None",Yes,Communcaiton gap,Poor / weak,Yes,None,Yes,Yes,Yes,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
between 22 to 35 years,Male,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,None,No,Satisfactory,Rich / Strong,Yes,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Others,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Solvent,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,H.S.C / A levels,With Family/Relatives,Yes,Others,"Social trend, Should avoid","No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Solvent,Yes,Many (more than 5),No,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Satisfactory,Medium,No,Many (more than 5),Yes,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Disease,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,None,No,Satisfactory,Solvent,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Others,Should avoid,"No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Average,Solvent,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,"Cigarette,Alcohol,others",Should avoid,"Yes, often they do",Alone,None,Yes,Satisfactory,Rich / Strong,No,None,No,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,Yes
